smiles,value,source,name,units,params
CC1(C)c2ccccc2-c2ccc(N(c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3ccccc3-4)c3ccccc3-c3ccccc3)cc21,500,ECHA,Boiling point,°C,
Cc1ccc(C=CCl)cc1,223,,Boiling point,°C,
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,929.624,,Boiling point,°C,
CC=Cc1ccc(OCC)cc1,242,,Boiling point,°C,
CCCCCCCCCCc1cccc2ccccc12,379,Handbook of chemistry and physics 2016,Boiling point,°C,
C#CCCCCCCCCCCCCCCCCCCCCCCCC,405,,Boiling point,°C,
O=C1CCCCCCC/C=C\CCCCCCC1,343,Handbook of chemistry and physics 2016,Boiling point,°C,
Cc1cc(C)c2c(n1)CCCC2,250.5,,Boiling point,°C,
N#C/C=C/c1ccco1,96,Handbook of chemistry and physics 2016,Boiling point,°C,
C/C=C\Cl,32,Handbook of chemistry and physics 2016,Boiling point,°C,
CC/C=C/C(C)C,88,Handbook of chemistry and physics 2016,Boiling point,°C,
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCCCC,185,ECHA,Boiling point,°C,
C/C=C(\C)Br,86,Handbook of chemistry and physics 2016,Boiling point,°C,
C=CC/C=C/C,65,Handbook of chemistry and physics 2016,Boiling point,°C,
O=C/C=C/c1ccccc1[N+](=O)[O-],125,,Boiling point,°C,
C=C/C=C\C=C,82.2,Handbook of chemistry and physics 2016,Boiling point,°C,
CC/C=C\CCOC(=O)c1ccccc1,273.2,ECHA,Boiling point,°C,
C/C=C(C)/C=C/C=C(C)C,188,Handbook of chemistry and physics 2016,Boiling point,°C,
CC/C=C/c1ccccc1,201,Handbook of chemistry and physics 2016,Boiling point,°C,
C/C=C(\CC)C(=O)O,205.5,,Boiling point,°C,
CC(C)(Cl)/C=C/C(C)(C)Cl,177.5,,Boiling point,°C,
N[C@H]1C[C@H]2CC[C@@H]1C2,156.5,,Boiling point,°C,
CCCCCCCOCC(O)CO,289.2,ECHA,Boiling point,°C,
CCCC(=O)OO,126,,Boiling point,°C,
CCNCC.Cl,325,GESTIS,Boiling point,°C,
CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,217.51,ECHA,Boiling point,°C,
CCCCCCCCCCCCCCCCC(C)(C)C,330,Boiling Point Models of Alkanes (2003),Boiling point,°C,
Fc1nc(F)c(F)c(I)c1F,168,,Boiling point,°C,
CCCCOC(=O)/C=C/c1ccccc1,295,,Boiling point,°C,
