Unnamed: 0,index,smiles,melt_value,melt_source,melt_name,melt_units,melt_params,canonical_smiles
0,0,CC1(C)c2ccccc2-c2ccc(N(c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3ccccc3-4)c3ccccc3-c3ccccc3)cc21,255.8,ECHA,Melting point,°C,,CC1(C)c2ccccc2-c2ccc(N(c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3ccccc3-4)c3ccccc3-c3ccccc3)cc21
1,1,Cc1ccc(C=CCl)cc1,35.5,,Melting point,°C,,Cc1ccc(C=CCl)cc1
2,2,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,194.0,,Melting point,°C,,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2
3,3,CC=Cc1ccc(OCC)cc1,60.333332,,Melting point,°C,,CC=Cc1ccc(OCC)cc1
4,4,CCCCCCCCCCc1cccc2ccccc12,15.0,,Melting point,°C,,CCCCCCCCCCc1cccc2ccccc12
5,5,C#CCCCCCCCCCCCCCCCCCCCCCCCC,57.0,,Melting point,°C,,C#CCCCCCCCCCCCCCCCCCCCCCCCC
6,6,O=C1CCCCCCC/C=C\CCCCCCC1,31.5,,Melting point,°C,,O=C1CCCCCCC/C=C\CCCCCCC1
7,7,Cc1cc(C)c2c(n1)CCCC2,19.5,,Melting point,°C,,Cc1cc(C)c2c(n1)CCCC2
8,8,N#C/C=C/c1ccco1,43.6875,,Melting point,°C,,N#C/C=C/c1ccco1
9,9,C/C=C\Cl,-134.8,Handbook of chemistry and physics 2016,Melting point,°C,,C/C=C\Cl
10,10,CC/C=C/C(C)C,-141.6,Handbook of chemistry and physics 2016,Melting point,°C,,CC/C=C/C(C)C
11,11,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCCCC,-26.0,ECHA,Melting point,°C,,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCCCC
12,12,C/C=C(\C)Br,-111.0,,Melting point,°C,,C/C=C(\C)Br
13,13,C=CC/C=C/C,-138.7,Handbook of chemistry and physics 2016,Melting point,°C,,C=CC/C=C/C
14,14,O=C/C=C/c1ccccc1[N+](=O)[O-],121.05,,Melting point,°C,,O=C/C=C/c1ccccc1[N+](=O)[O-]
15,15,C=C/C=C\C=C,-12.0,Handbook of chemistry and physics 2016,Melting point,°C,,C=C/C=C\C=C
16,16,CC/C=C\CCOC(=O)c1ccccc1,-20.0,ECHA,Melting point,°C,,CC/C=C\CCOC(=O)c1ccccc1
17,17,C/C=C(C)/C=C/C=C(C)C,-35.4,Handbook of chemistry and physics 2016,Melting point,°C,,C/C=C(C)/C=C/C=C(C)C
18,18,CC/C=C/c1ccccc1,-43.0,,Melting point,°C,,CC/C=C/c1ccccc1
19,19,C/C=C(\CC)C(=O)O,42.333332,,Melting point,°C,,C/C=C(\CC)C(=O)O
20,20,CC(C)(Cl)/C=C/C(C)(C)Cl,35.0,,Melting point,°C,,CC(C)(Cl)/C=C/C(C)(C)Cl
21,21,N[C@H]1C[C@H]2CC[C@@H]1C2,77.5,,Melting point,°C,,N[C@H]1C[C@H]2CC[C@@H]1C2
22,22,CCCCCCCOCC(O)CO,6.4,ECHA,Melting point,°C,,CCCCCCCOCC(O)CO
23,23,CCCC(=O)OO,-10.0,,Melting point,°C,,CCCC(=O)OO
24,24,CCNCC.Cl,138.53333333333333,GESTIS,Melting point,°C,,CCNCC
25,25,CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.96,ECHA,Melting point,°C,,CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
26,26,CCCCCCCCCCCCCCCCC(C)(C)C,10.0,,Melting point,°C,,CCCCCCCCCCCCCCCCC(C)(C)C
27,27,Fc1nc(F)c(F)c(I)c1F,48.75,,Melting point,°C,,Fc1nc(F)c(F)c(I)c1F
28,28,CCCCOC(=O)/C=C/c1ccccc1,142.1,,Melting point,°C,,CCCCOC(=O)/C=C/c1ccccc1
29,30,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,25.0,ECHA,Melting point,°C,,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC
